疾病名,英文病名,科別,器官,簡介,症狀,預防和治療
高血壓  ,"Hypertension, H/T, HTN","心臟血管科,家醫科","心臟,血管",高血壓是指靜止狀態時所測得的血壓持續地高於或等於140（收縮壓）或90（舒張壓）mmHg。高血壓與國人十大死因中的腦血管疾病（第二名）、心臟病（第三名）及腎臟病（排名六至八名）密切相關。顧名思義，血壓是血液施於血管壁的壓力，心臟在收縮時血管壓力較高，測得的血壓稱為收縮壓，放鬆時壓力減小，稱為舒張壓。一般健康成人的收縮壓約在120、舒張壓約在80毫米汞柱之間，當收縮壓來到130-139、舒張壓來到85-89mmHg，就可能進入高血壓前期，屬病發之灰色地帶，需開始留意飲食與生活型態的調適，以預防血壓值繼續攀高。高血壓初期沒有明顯症狀，有些則有上述一些非特異性的症狀，患者很難自我察覺。臨床表現的症狀，通常是因為高血壓已持續好一段時間，傷害到心血管系統而引發，可能病徵有疲乏、頸部痠痛、頭昏、頭痛、失眠及心悸等。高血壓也會加速血管硬化，帶來諸多併發症，如心臟病、腦中風、視網膜病變及腎病等。高血壓患者若合併高膽固醇或高血脂症，發生心血管疾病的危險機率會增加一倍，如再加上吸菸，致病率更高。一兩次血壓測量值偏高，不代表一定就罹患高血壓，這可能是基於某些外在變因，如剛進行劇烈運動或情緒過於激動等，但假使在固定時間、不同天數的測量值，超過三次以上為血壓過高，則應盡速就醫查明，做進一步的控制。,['頭重．暈眩．頭痛．流鼻血．耳鳴．眼花．失眠．心悸．疲累．肩膀痠痛．無精打采．噁心．嘔吐．抽搐．昏迷'],養成定時定期測量血壓的習慣，並做記錄。
,,,,,,
低血壓  ,Hypotension,"心臟血管科,家醫科","心臟,血管",低血壓是一種血壓過低的疾病，比起高血壓更難以被察覺，因為高血壓所引起的併發症如心臟病等，其嚴重性較引人關注，但低血壓也是許多危險疾病的共通徵兆，同樣需要重視。通常成人理想的血壓，收縮壓應在120、舒張壓應在80 mmHg左右，如果收縮壓低於90、舒張壓低於60mmHg，就算是低血壓。低血壓的種類可細分為體質性與器質性。不少疾病會讓體內血壓偏低，例如心臟病、糖尿病、低血糖症、過敏反應、感染等，器質性低血壓便是由這些疾病所引發。其他非疾病所造成的低血壓屬體質性低血壓，通常是暫時性的，包括姿勢性低血壓，因姿勢突然變化而引起，如從坐或躺改為站立；另一種神經迷走性低血壓，常見於年輕人，是在久站之後導致血壓過低和心跳緩慢，引起的低血壓症狀。一般來說，低血壓的臨床表現並不明顯，多數人可能感到全身無力、疲倦、嗜睡、做什麼都提不起勁等，像是慢性疲勞症候群的病徵。少部分嚴重低血壓者，因流入大腦的血液不足，或者心臟需要多次做工將血液送出，所以會出現頭暈眼花、心悸等症狀。然而，長期血壓偏低所帶來的併發問題卻不少，如情緒低落和憂鬱。大腦經常處於供血不足的狀態，也容易讓注意力不易集中，記憶力減退、思考變慢，增加罹患失智症、阿茲海默症的機率。,['易疲倦．全身乏力．昏沉嗜睡．暈眩．耳鳴．視力模糊．注意力不集中．四肢冰冷．冒冷汗．心悸．胸悶．食慾不振．貧血．腹鳴．便祕．下痢．腸積氣．腹部鼓脹．打嗝．意識不清．腳腫．昏厥．休克'],作息要規律，充分休息與睡眠。勞累會使血壓變低，因此一定要避免熬夜和過勞。睡覺時可多墊幾個枕頭，抬高頭部，幫助減輕低血壓症狀。
,,,,,,
先天性心臟病  ,"Congenital Heart Disease, CHD","心臟血管科,小兒科",心臟,先天性心臟病是胎兒還在母體時，心臟發育不良而引起的先天性疾病。在懷孕初期約三到八週時，胎兒的心臟會從幾個細胞生長成的血管，慢慢分化為左右心房與心室、上下腔靜脈、肺動脈、主動脈及肺脈等構造，在腔室之間還會形成瓣膜，這個過程如果受某些特殊的外在或內在因素影響，阻礙到心臟正常發育，就會導致心臟先天畸形。按照臨床症狀之不同，先天性心臟病又可分為發紺型心臟病、非發紺型心臟病及阻塞型心臟病三大類。其中，發紺型心臟病主要症狀是病童身上出現發黑、發紫或缺氧的現象，原因是血液中含氧量過低，最有名的是法洛氏四合症，其他像是單一心室、右心室雙出口、大血管轉位、肺靜脈迴流異常、三尖瓣或肺動脈瓣閉鎖等，也都屬於發紺型心臟病。非發紺型心臟病則是在心臟或大血管之間出現由左到右的分流，包括心房中膈缺損、心室中膈缺損、開放性動脈導管等，最後易發展為心臟衰竭。至於阻塞性心臟病則包括了主動脈狹窄與主動脈窄縮、肺動脈狹窄等。有些先天性心臟病患者得以在五歲前自癒，但絕大多數需要動外科手術，例如心導管治療術、氣球導管心房中膈造口術、開心手術等，另有內科治療，針對不同的病情投以藥物、限制鹽分和水分，或補充鐵劑和綜合維他命等。,['易流手汗．焦慮．緊張．頭痛．臉色蒼白．呼吸困難．呼吸急促．嘴唇發紫．四肢發紺．四肢浮腫．心悸．心跳快．心臟雜音．發育遲緩．體力差．易疲倦．胸痛．暈厥'],懷孕初期胎兒心臟仍在成形階段，應注意避免缺乏微量元素、營養不良、營養過度、過度補充維生素等問題，最好按照醫師的指示再做補充及調整。
,,,,,,
心肌炎  ,myocarditis,心臟血管科,心臟,心肌炎是指心臟肌肉受到病毒、細菌、毒素等侵犯，或自身免疫反應引起，導致心臟肌肉發炎甚至壞死。臨床上以病毒性心肌炎最常見。部份心肌炎病例一開始症狀不明顯，初期類似感冒或腸胃炎，因此很容易被誤判。如感冒或腸胃炎症狀持續數周都沒好，甚至陸續出現心悸、氣喘、胸痛等症狀，應趕快就醫確認。診斷上，若X光顯示心臟腫大合併肺水腫，心電圖呈現心律不整等，就有可能是心肌炎。心肌炎若發生在嬰幼兒多為急性，甚至猛爆性發作而致命。於較大孩童或青少年發病則較緩慢，剛開始可能無明顯症狀。有顯著症狀的心肌炎死亡率達22%，猛爆性死亡率高達50%到70%。心肌炎約九成患者會自行痊癒，只有一成會變為重症，需依賴體外循環機（葉克膜）或緊急換心，才能延續生命。痊癒後的患者仍需長期追蹤，因為罹患心肌炎後的心臟有可能在未來產生擴張性心肌病變。,['咳嗽．發燒．流鼻水．倦怠．腹瀉腹痛．肌肉疼痛．頭暈．嘔吐．胸痛．心跳加快．昏倒．異常心音．心律不整．發紺．浮腫．心悸．氣喘'],盡量避免感冒，秋冬可施打流感疫苗。
,,,,,,
冠心病  ,coronary artery disease,心臟血管科,心臟,冠心病，是冠狀動脈心臟病的簡稱，又稱缺血性心臟病，是最常見的一種心臟病。環繞在心臟表面的冠狀動脈，主要負責供應心臟氧氣和養分，當脂肪堆積而使動脈血管變窄或阻塞，就叫動脈粥狀硬化。如果只有慢性阻塞，通過的血流量減少導致缺氧但無心肌壞死，即為「狹心症」；如有急性阻塞，心肌突然得不到氧氣供應造成組織壞死，就是「急性心肌梗塞」，嚴重可致休克、死亡。冠心病過去是以中老年人為主的疾病，但近年患者年紀下降，據研究與人們飲食習慣、生活習慣的改變有關。包括冠心病在內的心血管疾病，長年高居國人十大死因前三名。,['胸悶．胸痛．喘不過氣．心悸．暈倒．冒冷汗．噁心．嘔吐．呼吸困難．頭暈'],控制心血管疾病危險因子，包括血壓、血糖、血脂、膽固醇的監控。
,,,,,,
皮膚癌  ,SkinCancer,"血液腫瘤科,皮膚科",皮膚,皮膚癌是指皮膚表面發生的惡性腫瘤，好發生臉、頸、手臂常被陽光照射的部位，最常見的三種為：．基底細胞癌：為最常見的皮膚惡性腫瘤，通常看起來表皮周圍光亮凸出；呈現膚色伴隨有微血管擴張的小腫塊，中間偶爾有潰瘍傷口，70%到90%發生在臉部等陽光照射到的地方。．鱗狀細胞癌：皮膚外觀上多半為突出的屑狀角化腫瘤或潰瘍，容易發生在陽光長期照射之處，如耳朵；臉部；唇和嘴部，有時會發生在腿或腹壁等受到慢性傷害或輻射的部位。鱗狀細胞癌通常會發展成如蕈樣狀的腫塊。．黑色素細胞癌：黑色素細胞癌較常出現在肢端如手指腳趾、手掌腳掌、趾甲等處，但也可能出現在身體任何一處，包括臉部及黏膜，通常以墨黑色或色澤不均的斑塊出現，也可能呈現凸起的腫塊。,['皮膚不明腫塊．痣變大．痣變色．傷口久不癒合'],平時應保持皮膚局部清潔，防止發生感染。
,,,,,,
血癌  ,Leukemia,血液腫瘤科,血液,白血病就是血癌，是一種造血細胞的惡性增生性病變。病人的骨髓造血系統產生大量不成熟、無法正常工作的白血球，造成正常的血小板、紅血球、白血球減少。,['貧血．皮膚點狀出血．皮膚青腫．發燒．淋巴結腫大．骨頭疼痛．關節痛．牙齦腫脹．肝脾腫大．頭痛．嘔吐．心包膜積水．肋膜腔積水．心臟衰竭．呼吸困難．心跳加快．有倦怠感．體重減輕．帶狀皰疹．肺炎'],不吸菸。
,,,,,,
肝癌  ,Liver Cancer,"血液腫瘤科,胃腸肝膽科",肝,肝癌是指發生於肝臟的癌症，如果是肝臟內的細胞所引發的癌病，我們稱之為「原發性肝癌」，若是肝外的癌細胞透過血液或其他途徑擴散至肝臟的話，則稱之為「轉移性肝癌」。,['肝區疼痛．乏力．黃疸．腹水．體重減輕．食慾減退．上腹悶脹．噁心嘔吐．腹瀉．咳嗽．咳血．發燒．胸痛．呼吸困難'],不吸菸、不酗酒。
,,,,,,
胃癌  ,Stomach Cancer,"血液腫瘤科,胃腸肝膽科",胃,從胃任一部位發生癌變，長出來之惡性細胞的腫瘤都被稱為「胃癌」，包括腺癌、淋巴癌、惡性肉瘤等，不過由胃黏膜腺體細胞長出的腺癌佔了絕大多數，因此一般通稱胃癌指的就是胃腺癌。,['上腹部不適．胃痛．泛酸．噯氣．食慾減退．噁心．胃脘部灼熱．腹瀉．黑便．體重減輕'],飲食多樣化，不偏食，注意營養成分的搭配。
,,,,,,
膽囊癌  ,Gallbladder Carcinoma,"血液腫瘤科,胃腸肝膽科",膽,膽囊的主要功能是儲存膽汁，膽汁則可以幫助油脂食物的消化，膽囊癌非常少見，大部份的膽囊癌在發現時都已很難治療處理，若是膽囊癌已到末期，也無法將膽囊切除治療。,['右上腹脹痛．食慾不振．噁心．嘔吐．黃疸．高燒、右上腹腫塊．腹水'],定期至醫院健康檢查，在橡膠有關行業工作的人較容易得到膽道系統的癌症，更應該定期檢查。
,,,,,,
嗜鉻細胞瘤  ,Pheochromocytoma,血液腫瘤科,腎上腺,嗜鉻細胞瘤起源於腎上腺髓質、交感神經節或其他部位的嗜鉻組織，這種瘤持續或間斷地釋放大量「兒茶酚胺」，引起持續性或陣發性高血壓和多個器官功能及代謝紊亂，約10％為兩側性惡性腫瘤。,['高血壓．心悸．氣短．胸悶．頭痛．面色蒼白．大量出汗．視力模糊．皮膚潮紅．噁心．嘔吐．體溫升高．血糖升高．便秘．四肢震顫．心絞痛．焦慮．瞳孔散大'],定期至醫院健康檢查（抽血檢驗、電腦斷層掃瞄）。
,,,,,,
神經母細胞瘤  ,Neuroblastoma,血液腫瘤科,"腎上腺,神經",神經母細胞瘤是一種生長快速的腫瘤，是兒童癌症當中，最常見之惡性腫瘤，兒童神經母細胞腫瘤是交感神經系統細胞在胚胎發育過程中產生突變而長出的腫瘤，這些神經節分布在身體的許多部位，通常從腎上腺髓質或交感神經節以腹部腫瘤形式出現，也會在胸部、頸部、骨盆或頭部發現。,"['疾病原因源於神經脊的胚胎瘤，屬交感神經系統腫瘤，因多能性交感神經元母細胞和交感神經母細胞分化功能變差，形成腫瘤惡性增殖，演變為神經母細胞瘤。腫瘤會發生在「交感神經系統」分佈的任一部位，但最常發生在後腹腔，尤其好發於「腎上腺」，約50%以上。此症發生原因不明，有文獻指出，與第1對染色體長臂1g21.1基因異常相關，另發現少數個案有家族史，應與「遺傳因子」有關。', '）．肚子腫大．呼吸困難．下肢麻痺．四肢無力．步態不穩．貧血．高血壓．頭痛．潮紅．盜汗']",孕婦懷孕期間，盡量避免感染、接觸放射線。
,,,,,,
黑色素瘤  ,Melanoma,"血液腫瘤科,皮膚科,一般外科","皮膚,指甲,黏膜",黑色素瘤是一種主要出現在皮膚的惡性黑色素細胞腫瘤，是皮膚癌中罕見的一種，但惡性程度高，是皮膚癌的主要死亡原因之一，較常出現在肢端如手指腳趾、手掌腳掌、趾甲等處。但也可能出現在身體任何一處，包括臉部及黏膜，通常以墨黑色或色澤不均的斑塊出現，也可能是凸起的腫塊。黑色素細胞癌可產生在身體任何部位，大多產生在女性的下肢，男性的身上，東方人好發在指甲或痣邊不規則。,['痣變大．痣變色'],加強自我身體檢查，以期提早發現。自我檢查身體皮膚是否有色素斑點形狀不對稱、色素斑邊緣不規則、色素斑色素不均勻、在原本深色的斑點中出現淺色的變化，或是在淺色斑塊中顏色加深等情形，若是有上述情形應及早就醫診治。
,,,,,,
淋巴癌  ,Lymphoma,血液腫瘤科,淋巴系統,淋巴瘤為淋巴系統的惡性腫瘤。依照病理診斷，可分成「何杰金病」與「非何杰金氏淋巴瘤」兩個大類。淋巴癌初期並無明顯特殊的症狀，後期是因為引起免疫反應而造成症狀。,['淋巴腺腫大．貧血．發燒．出汗．體重減輕．皮膚瘙癢．疲倦．咳嗽'],保持規律生活：不熬夜、不抽菸喝酒、養成運動習慣、飲食均衡。
,,,,,,
睪丸癌  ,Testicular cancer,"血液腫瘤科,泌尿科",睪丸,正常的男性陰囊內有兩粒睪丸，右左各一粒， 主要的功能是製造精子及產生睪丸固酮，以維持男性生殖及性功能。睪丸癌是指一個或兩個睪丸的細胞異常生長所形成的癌病。,['睪丸腫大．睪丸有沈重感．睪丸疼痛．陰囊積水．睪丸內出血．乳腺增大．乳腺疼痛．背痛．咳嗽．咳血．骨頭痛．下肢浮腫'],男性洗澡時可檢查自己的睪丸，看看兩邊睪丸大小是否一致，若有發現異常，應立即找專科醫師診治。
,,,,,,
膀胱癌  ,Bladder cancer,"血液腫瘤科,泌尿科",膀胱,膀胱癌是指各種發生在膀胱的惡性腫瘤，也就是膀胱內有異常細胞大量增殖而不受控制。膀胱癌的種類：90％是「移形性細胞癌」，6％是「上皮細胞癌」，另有少部分是「腺癌」。症狀方面，約85％病人有無痛血尿，20％病人有頻尿症狀，如病情嚴重會導致排尿困難。,['無痛血尿．頻尿．排尿困難．膀胱炎．尿路感染．膀胱出口阻塞．腎絞痛．體重減輕．腹痛．骨頭痛．貧血'],日常生活中避免接觸一些化學物質，如染髮劑。
,,,,,,
食道癌  ,Esophageal Cancer,"血液腫瘤科,呼吸胸腔科",食道,食道癌為食道腫瘤，食道的腫瘤常會導致吞嚥困難、疼痛和不舒服，須靠活組織切片檢查做診斷。小的且沒有轉移的腫瘤可靠外科手術治療，而侵犯性強的腫瘤則須靠化學療法、放射線療法或合併使用治療，此病的預後情形較差。,['吞嚥困難．吞嚥時有疼痛感．噁心．嘔吐．嘔血．胃食道逆流．咳嗽．發燒'],不抽菸、不吃檳榔、飲酒勿過量。
,,,,,,
鼻咽癌  ,Nasopharyngeal Carcinoma,"血液腫瘤科,耳鼻喉科",鼻,鼻咽癌是鼻咽腔內長惡性腫瘤，由於鼻咽腔位於鼻子後方和喉嚨交界之處，因此常被誤為是感冒、火氣大，而延誤治療佳機，鼻咽癌早期症狀不明顯，常在未發覺鼻咽部長出惡性腫瘤前，癌細胞已轉移至其他部位，而錯失治療時機。,['頭頸部腫大．單側耳塞．持續性耳鳴．聽力障礙．單側鼻塞或鼻涕增多．頭痛．口鼻不明原因滲血．鼻腔蓄膿．眼球內斜．複視．視力模糊．臉部知覺麻痺'],少吃含脂肪、煙燻、鹽醃、醃製之食物，不吃含防腐劑、色素、受污染、發霉之食物，多吃富含纖維及維他命A、C之食物，烹煮食物時儘量以蒸煮方式代替油煎油炸。
,,,,,,
甲狀腺癌  ,Thyroid carcinoma,"甲狀腺腫瘤,代謝內分泌科",甲狀腺,甲狀腺癌依其組織形態之不同，可大分為乳突癌、濾泡癌、髓質癌、未分化癌四類，其中以「乳突癌」所佔比例最高，其他的癌則較少。甲狀腺癌的發生率較低，容易治癒。,['頸部腫大．頸部硬塊．聲音沙啞．吞嚥困難．體重減輕．呼吸困難．胸部不適'],洗澡時可仔細檢查自己的頸部，看看是否有異常凸起的腫塊，若有發現異常，應儘快找醫師檢查，以便早期發現及早治療。
,,,,,,
腎癌  ,renal cell carcinoma,"血液腫瘤科,泌尿科,腎臟科",腎,腎臟位於後腹腔脊柱的兩旁，主要負責生成尿液和排泄尿液。廣義的腎臟腫瘤包含了血管脂肪瘤，腎囊腫等良性腫瘤及惡性腫瘤。其中惡性腫瘤佔1~5％，又稱為腎臟癌。,['腹部疼痛．血尿．疲勞．發燒．盜汗．食慾不振．體重減輕．腹部腫塊．貧血．咳血．感覺遲鈍．雙腿水腫．腰痛'],不抽菸、不吃檳榔、飲酒勿過量。
,,,,,,
肺癌  ,Lung cancer,"血液腫瘤科,呼吸胸腔科,胸腔外科",肺,肺癌指的是肺部組織內細胞生長失去控制的疾病。肺癌通常分成兩大類型：「小細胞型肺癌」和「非小細胞型肺癌」。「小細胞型肺癌」多發生於男性，且與抽菸有密切關係。「非小細胞型肺癌」是最常見的肺癌。,['咳嗽．咳血．厭食．呼吸困難．肋膜積水．聲音嘶啞．吞嚥困難．上腔靜脈症候群．手臂疼痛．手臂無力．頭痛．嘔吐．視覺障礙．骨頭疼痛．體重減輕'],不吸菸與戒菸：菸為致癌物，吸菸尤其會引起肺癌。
,,,,,,
肺腺癌  ,Lung adenocarcinoma,"血液腫瘤科,呼吸胸腔科,胸腔外科",肺,肺腺癌是肺癌的一種，屬於非小細胞癌，大多發生在較小的支氣管粘膜分泌粘液的上皮細胞，肺部的週邊，腫瘤擴大的速度較慢，早期無徵兆，通常診斷出來時已經是晚期。,['咳嗽．咳血．胸悶．胸痛．發燒'],55至74歲，過去有吸菸史者（超過30包/年），可考慮每年接受低劑量電腦斷層篩檢，以期早期發現、早期治療。
,,,,,,
子宮頸癌  ,Cervical Cancer,"血液腫瘤科,婦產科",子宮,子宮頸癌是由於「人類乳突病毒」長期慢性感染子宮頸上皮細胞，導致上皮細胞化生不良，進而癌化。早期的子宮頸癌可能完全沒有症狀，後期的子宮頸癌的症狀則因侵入或擴散的器官而有所不同。,['陰道出血．分泌物增多'],台灣是子宮頸癌好發國家，有性行為的婦女，無論有無危險因子均應每年接受「子宮頸抹片檢查」。如有危險因子可加作人類乳突病毒檢測，當抹片異常或人類乳突病毒呈現陽性者均需加作陰道鏡檢查，如發現異常即需進一步切片檢查並進行治療。
,,,,,,
子宮內膜癌  ,carcinoma of the endometrium,"血液腫瘤科,婦產科",子宮,女性子宮腔內覆蓋著一層上皮稱為子宮內膜，包含有基質與小腺體，子宮內膜癌是子宮內膜上的細胞變化長出癌細胞。,['停經後出血．異常子宮出血．腹部疼痛．月經不規則．子宮積膿．貧血'],更年期或停經後的女性，應謹慎使用雌激素荷爾蒙治療。
,,,,,,
乳癌  ,Breast cancer,"血液腫瘤科,一般外科,整形外科",乳房,乳房是由乳腺小管、乳腺小葉及腺泡上皮構造所組成的，主要功能是製造乳汁。乳癌是由於惡性腫瘤侵略並破壞乳房正常組織而形成的癌病腫瘤，是比較容易早期發現的癌症。,['乳房腫塊．乳腺疼痛．乳頭流液．乳頭出血．乳頭凹陷．乳房外型改變．乳房皮膚呈橘皮組織．乳房紅腫．乳房潰爛．腋下淋巴腺腫大'],定期自我乳房檢查：女性應每天稍加留意自我檢查乳房，一旦出現有疑似乳癌初期的症狀時，應該進一步的到醫院追蹤確認。
,,,,,,
卵巢癌  ,"Ovary cancer,Ovarial cancer","血液腫瘤科,婦產科",卵巢,卵巢是女性的生殖器官，主要功能是排卵，並且產生女性荷爾蒙，包括動情激素及黃體激素，卵巢癌是指女性卵巢內的正常細胞出現異常分裂的情形，並形成腫瘤。,['便秘．腹瀉．腹部疼痛．腹部腫脹．噁心．脹氣．體重減輕．下肢水腫．外陰水腫．月經失調．陰道出血．頻尿．排尿困難．腰部疼痛'],若有卵巢腫塊，或大於6cm的囊腫，應立即進行手術切除。
,,,,,,
陰道癌  ,Vaginal cancer,"血液腫瘤科,婦產科",陰道,陰道是女性外生殖器通往子宮頸的通道，陰道癌是指發生在陰道部位的惡性腫瘤。陰道癌好發於陰道上三分之一段，也就是接近子宮頸的部份， 通常是繼發性的。原發性陰道惡性腫瘤很罕見，約占女性生殖器官惡性腫瘤的1%。,['白帶增多．陰道分泌物增多．陰道出血．頻尿．血尿．血便．便秘．腹痛．陰道異味．腰部酸痛．腹脹．性交疼痛．陰道搔癢．陰道有隆起物'],陰道癌前病變和早期陰道癌可於「子宮頸篩檢抹片」中發現，因此有性行為的女性均應每年定期接受「子宮頸抹片檢查」，與婦產科內診。另外早婚、生育子女多、性生活頻繁或子宮頸曾受病毒感染者，更應特別注意，以期及早發現治療。
,,,,,,
攝護腺癌  ,Prostatic cancer,"血液腫瘤科,泌尿科",攝護腺,前列腺屬於男性生殖系統，主要功能是製造與貯存前列腺液，並在射精時成為精液重要的一部份，前列腺癌是發生在前列腺的惡性腫瘤，發病率隨年齡而增長。,['排尿疼痛．排尿困難．頻尿．夜尿．血尿．性功能障礙．勃起困難．射精疼痛．漏尿．背痛．臀部痛．骨盆痛．尿流口徑減小．血精'],定期健康檢查、直腸指診、抽血篩檢（前列腺特異抗原 PSA），以期早期發現及早診斷治療，尤其是老年人在健康檢查時，應特別注意前列腺情況。
,,,,,,
血友病  ,Hemophilia,"血液腫瘤科,小兒科",血液,血友病是一種先天性血液凝固異常的出血疾病，病患先天缺乏某一種凝血因子，導致凝血功能障礙，不容易凝固，身上經常出現不明瘀青，如果有嚴重創傷，就可能有出血不止的情況。血友病依其缺乏凝血因子種類之不同，可分為A型、B型、C型三種血友病。,['出血不止．淤青'],有家族性血友病史的孕婦可考慮接受羊膜穿刺檢查，抽取羊水主要是檢驗胎兒的染色體是否異常，檢驗羊水細胞內的基因（ＤＮＡ組成）可診斷出血友病。
,,,,,,
地中海貧血  ,Thalassemia,"血液腫瘤科,小兒科,家醫科",血液,地中海型貧血是一種隱性的先天性遺傳疾病，最早發現於地中海地區而得名，又被稱為海洋性貧血，是台灣常見的遺傳性血液疾病之一。患者先天紅血球的結構異常，較脆弱且容易破裂，攜氧功能亦不足。輕度者不影響日常生活，嚴重者需接受輸血等治療。,['貧血．虛弱．腹部突出．發育遲緩．肝脾腫大．黃疸．骨骼變形．蒼白．頭暈．疲倦．胎兒水腫．運動耐受力降低'],孕婦應接受產前檢查，篩檢地中海貧血。
,,,,,,
難治性高血壓  ,Resistant hypertension,心臟內科;腎臟內科;內科;家醫科,腎交感神經亢奮恐是原因之一,使用三種以上的降血壓藥（包括利尿劑），使用劑量在可忍受的最高劑量下，血壓仍不能降到140／90mmHg以下，被診斷為難治性高血壓。,[],固定量血壓：722
,,,,,,
脾破裂  ,Splenic Rupture,一般外科,脾,脾臟含有大量的血液，外觀呈暗紅色，受傷破裂時，會導致腹腔出血，引起腹膜炎及休克等症狀。,['出血．腹痛．腹脹．口渴．心悸．呼吸急促．皮膚蒼白．四肢冰冷．血壓下降'],脾臟腫大的人，應盡量避免劇烈的運動。
,,,,,,
